,content
22,Cập nhật COVID-19 ngày 26/4: Thông tin mới về BN91 - ca bệnh duy nhất đang điều trị ở TP.HCM ⭐_⭐_⭐ - Tại: Tạp Chí Sức Khỏe TopVn ✅✅ Xem Ngay  https://suckhoe.truongthinh.info/cap-nhat-covid-19-ngay-26-4-thong-tin-moi-ve-bn91-ca-benh-duy-nhat-dang-dieu-tri-o-tp-hcm/ … #tapchisuckhoe #tapchisuckhoetopvn #websuckhoe
23,"Số ca nhiễm COVID-19 tại Nga vượt 80.000, Italy mở cửa trường học vào tháng 9  https://vtc.vn/thoi-su-quoc-te/so-ca-nhiem-covid-19-tai-nga-vuot-80000-italy-mo-cua-truong-hoc-vao-thang-9-ar542541.html …"
24,Bạn ăn gì mua Covid-19 để diệt virus #quarantinelife #coronavirus  https://www.instagram.com/p/B_cxDT5gs6S/?igshid=78npgmz15ho8 …
25,"Một điều ước mình viết lên cây điều ước. 💌
Việt Nam quyết thắng đại dịch COVID 19. ❤
#Vietnam pic.twitter.com/Wa30BVwXj8 – at Phương Nam Book City"
26,Australia ra mắt phần mềm ứng dụng truy vết người nghi nhiễm COVID-19  https://vtc.vn/thoi-su-quoc-te/australia-ra-mat-phan-mem-ung-dung-truy-vet-nguoi-nghi-nhiem-covid-19-ar542534.html …
27,"Tiếp tục thực hiện các biện pháp phòng, chống dịch Covid-19 trong tình hình mới   https://tinquangbinh.com/2020/04/980189/tiep-tuc-thuc-hien-cac-bien-phap-phong-chong-dich-covid-19-trong-tinh-hinh-moi/ …"
28,Người dân có thể liên lạc theo những số điện thoại nào để được tư vấn về dịch COVID-19?  https://tinviet360.com/index.php/2020/04/26/nguoi-dan-co-the-lien-lac-theo-nhung-so-dien-thoai-nao-de-duoc-tu-van-ve-dich-covid-19/ … pic.twitter.com/x90ySZGNhR
29," https://www.facebook.com/groups/876317445735040/permalink/3356487331051360/ …
ALWAYS BE KIND.
HAVE A GOOD ATTITUDE.
NEVER GIVE UP.
NHỮNG CẢNH ĐỜI NGHỊCH LÝ TRONG THỜI ĐẠI DỊCH COVID-19
Biết Nguy Hiểm Mỹ vẫn mở cửa thế mới Sốc vì cô vịt! Còn gì nữa?
APRIL 25, 2020
Duong Trung Hieu Official
 https://www.youtube.com/watch?v=bpFR_OaDMmc … pic.twitter.com/F2bPFjyENm"
30,"[INFO] 

🌟“ARMY, fandom lớn làm nên sự khác biệt lớn”

#ARMY tham gia quyên góp cho COVID với số tiền lớn

• Tổng số tiền ủng hộ hơn 537M won (hơn 10 tỷ VNĐ) đã được gửi tới hiệp hội cứu trợ thảm hoạ hàn quốc tính tới ngày 16/4

(+)  pic.twitter.com/8RgMvn4pJR"
31,"#KemChoTrump 
भारत मे सब बढ़ियाँ है, सब चंगा सी, IN INDIA EVERY THING IS FINE.
MY DEAR FRIEND PRESIDENT OF UNITED STATES OF AMERICA MR. DOLAAND TRUMP.

भारत मे COVID-19 के दो वजह।
1- #NamasteTrump 
2- #मध्य_प्रदेश मे सरकार का तोड़ जोड़।"
32,Thật ra cp đang bận bên covid =))))) nhưng nát thì nát thật  https://twitter.com/yyailiexian/status/1254424565352001537 …
33,"Bluezone là ứng dụng giúp bạn tự mình quản lý tiếp xúc gần, nhận cảnh báo khi xuất hiện F0. 
Ứng dụng này được Bộ TTTT và Bộ Y tế chính thức khuyến nghị toàn dân sử dụng để phòng, chống dịch bệnh Covid-19.  pic.twitter.com/jddrOyRIjf – at Highlands Coffee"
34,"Shijiazhuang Yiling Pharmaceutical Co, Ltd. hỗ trợ cuộc chiến chống COVID-19 với thuốc “Lianhua Qingwen”
Mới đây, công ty Shijiazhuang Yiling Pharmaceutical Co, Ltd. 
Shijiazhuang Yiling Pharmaceutical Co, Ltd. Supports The Battle Against COVID-19 With ""Lianhua Qingwen"""
35,Dịch Covid-19 tối 26/4: Nghiên cứu mới về khả năng lây qua đường tình dục của SARS-CoV-2  https://ift.tt/3bDk2Kg  pic.twitter.com/EP0pLkAD1X
36,DỊCH COVID-19 có ảnh hưởng tới giá LAN RỪNG tại chợ Bắc Hà không ?  https://youtu.be/-iqh4C3VFYY  qua @YouTube
37,Cập nhật tình hình Covid-19 vào lúc 21 giờ 26-4-2020 | Thông tin dịch Co...  https://youtu.be/xdlOSuRbSQI  qua @YouTube
38,"Quảng Bình, Quảng Trị mua máy xét nghiệm Covid-19 giá rẻ bất ngờ  http://hoicodo.com/618529/quang-binh-quang-tri-mua-may-xet-nghiem-covid-19-gia-re-bat-ngo/ … pic.twitter.com/ibz9iDGPRl"
39,Tưởng rằng ở nhà nhiều sẽ chăm đọc sách: Chuỗi nhà sách lớn nhất Việt Nam dự kiến giảm nghìn tỷ doanh thu và 90% lợi nhuận vì Covid-19  https://ngon24h.wordpress.com/2020/04/26/tuong-rang-o-nha-nhieu-se-cham-doc-sach-chuoi-nha-sach-lon-nhat-viet-nam-du-kien-giam-nghin-ty-doanh-thu-va-90-loi-nhuan-vi-covid-19/ … pic.twitter.com/Dnoe3kwQUH
40,Mùa dịch virus Covid 19 Corona bị thất nghiệp ở nhà nuôi gà ❤ Việt Nam C...  https://youtu.be/pzLNtd3aFGE  qua @YouTube
41,🔖 COVID-19 - “Bàn đạp” cho tiến trình tự động hóa nền kinh tế.  https://thanhphohaiphong.gov.vn/covid-19-ban-dap-cho-tien-trinh-tu-dong-hoa-nen-kinh-te.html … pic.twitter.com/8SFtKd0Gcs
42,Hướng dẫn xử lý trường hợp nghi ngờ mắc COVID-19 trong trường học   https://tinquangbinh.com/2020/04/980185/huong-dan-xu-ly-truong-hop-nghi-ngo-mac-covid-19-trong-truong-hoc/ …
43,WHO khuyến cáo: ‘Không có chứng cớ kháng thể giúp miễn nhiễm COVID-19’  https://www.nguoi-viet.com/the-gioi/who-khuyen-cao-khong-co-chung-co-khang-the-giup-mien-nhiem-covid-19/ …
44,"Tinh Thần Đại Đoàn kết Việt Nam 🇻🇳
🌟 🌟 🌟 🌟 🌟  [ ĐÃ ]
Chiến Thắng Đại Dịch Covid-19. 
Landmark 8️⃣1️⃣ Tỏa Sáng Chống Dịch Covid 19.👍 
=> Máu Đỏ,❤ Vàng
#Toà tháp Landmark 81 – “biểu tượng sức mạnh” của [ Coteccons ] trong lĩnh vực xây dựng.🏗 pic.twitter.com/TqWoMKlAZs"
45,thằng cháu xạo xạo kêu chở đi hóng mát .lâu rồi không có đi.nó biết dịch bệnh covid 19.được thả cho đi gần khu vực.😅😅😅26.04.2020  pic.twitter.com/D2j5Cy4eKV
46,"Tinh Thần Đại Đoàn kết Việt Nam 🇻🇳 [ ĐÃ ]
 Chiến Thắng Đại Dịch Covid-19.👍😊
I ❤ Việt Nam 🇻🇳.  pic.twitter.com/GhdyQKftnE"
47,Dịch Covid-19 tối 26/4: Nghiên cứu mới về khả năng lây qua đường tình dục của SARS-CoV-2  https://ift.tt/3aFixtC  pic.twitter.com/ml5oIu4GhI
48,Toàn cảnh phòng chống dịch COVID-19 ngày 22/4 | VTV24  http://trumpathon.com/toan-canh-phong-chong-dich-covid-19-ngay-22-4-vtv24/ …
49,Check out this article: Trung Quốc gây sức ép buộc EU từ bỏ chỉ trích thông tin sai lệch có liên quan tới COVID  -  http://vietanhsongngu.com/trung-quoc-gay-suc-ep-buoc-eu-tu-bo-chi-trich-thong-tin-sai-lech-co-lien-quan-toi-covid--871.htm …
50,Báo Mỹ nhận định Việt Nam ứng phó dịch Covid-19 rất hiệu quả  https://banmaihong.wordpress.com/2020/04/26/bao-my-nhan-dinh-viet-nam-ung-pho-dich-covid-19-rat-hieu-qua/ …
51,Hiện tượng máu đông bí ẩn ở bệnh nhân COVID-19  https://gdvn.net/hien-tuong-mau-dong-bi-an-o-benh-nhan-covid-19.html … pic.twitter.com/S9juWOyslr
52,Tin COVID-19 tối 26/4: WHO công nhận bộ kit xét nghiệm của Việt Nam đạt ...  https://youtu.be/auNGLry0sTU  via @YouTube
53,"Dịch Covid đã xóa tan cơ hội đầu tư ngắn hạn, lướt sóng?  http://nhadat368.com/2020/04/26/dich-covid-da-xoa-tan-co-hoi-dau-tu-ngan-han-luot-song/ … pic.twitter.com/k7zvkyRyZj"
54,Truyền thông châu Âu khen cuộc chiến chống Covid-19 của Việt Nam  https://youtu.be/Cwd4tOTkoq0  qua @YouTube pic.twitter.com/qWijPpUgGi
55,Ý thả 3 ông trùm mafia để ngăn COVID-19 lây lan trong tù  https://www.nguoi-viet.com/the-gioi/y-tha-tu-3-ong-trum-mafia-de-ngan-covid-19-lay-lan-trong-tu/ …
56,Live ! รายการพิเศษ #ถอดบทเรียนแดนมังกร (Covid-19 Frontline)  https://youtu.be/q4YvGp5SY7A  via @YouTube
57,"Vì Covid-19, Thổ Nhĩ Kỳ hoãn nhận tên lửa S-400 của Nga  https://rfi.my/5nzK.t  pic.twitter.com/fZo58AfMaI"
58,Việt Nam có 5 bệnh nhân Covid-19 dương tính trở lại sau khi xuất viện  https://tinviet360.com/index.php/2020/04/26/viet-nam-co-5-benh-nhan-covid-19-duong-tinh-tro-lai-sau-khi-xuat-vien/ … pic.twitter.com/ZHZsyOCQCi
59,Doanh nghiệp địa ốc chuẩn bị hậu Covid-19  http://nhadepdatvang.com/doanh-nghiep-dia-oc-chuan-bi-hau-covid-19/ … pic.twitter.com/3DuIqbiFtp
60,"Chiều nay (26/4), Việt Nam không có thêm ca nhiễm Covid-19, còn hơn 50 nghìn người đang cách ly  https://ift.tt/3cLg3LZ  pic.twitter.com/mKAF8nQBmh"
61,Dịch Covid-19 bùng phát và các biện pháp giãn cách xã hội được triển khai khắp toàn cầu để dập dịch đã buộc các cặp đôi phải thể hiện tình cảm và sự gắn bó theo những cách rất khác so với trước đây. #vietnam https://www.youtube.com/watch?v=IsYwsuNdpEo …
62,"wow..!!
BBC News Tiếng Việt - COVID-19 và cơ hội chuyển hướng cho công nghiệp Việt Nam  https://www.bbc.com/vietnamese/forum-52424243 …"
63,Tin tức dịch bệnh corona ( Covid-19 ) sáng 24/4 Tin tổng hợp virus corona Việt Nam đại dịch Vũ Hán  http://trumpathon.com/tin-tuc-dich-benh-corona-covid-19-sang-24-4-tin-tong-hop-virus-corona-viet-nam-dai-dich-vu-han/ …
64,"Covid-19: Anh vượt ngưỡng 20.000 người chết, chính phủ hứng chỉ trích  https://rfi.my/5nyy.t  pic.twitter.com/NwHQhQIEne"
65,Đã 10 ngày Việt Nam không ghi nhận ca mắc COVID-19 mới do lây nhiễm trong cộng đồng  http://hoicodo.com/618516/da-10-ngay-viet-nam-khong-ghi-nhan-ca-mac-covid-19-moi-do-lay-nhiem-trong-cong-dong/ … pic.twitter.com/cqe5qccsk4
66,"MU hưởng lợi từ Covid-19, có SAO Atletico 150 triệu euro nhờ UEFA giúp sức?
Xem thêm chi tiết tại :  https://www.instagram.com/p/B_cf9meDVie/?hl=vi …
#bongdaclub pic.twitter.com/wlXhL2lGPP"
67,Thủ tướng quyết định đối tượng cụ thể được hỗ trợ do gặp khó bởi Covid-19  https://rongvietthanghoa.site/thu-tuong-quyet-dinh-doi-tuong-cu-the-duoc-ho-tro-do-gap-kho-boi-covid-19 …
68,Đúng vậy. Không lo cho nhân dân lại đi lo ăn cướp rồi kêu la. Giấu diếm số liệu người chết do covid-19. Khi được BillGate tài trợ cho WHO thì số liệu người chết bỗng nhiên tăng vọt. Số liệu ấy chưa chính xác đâu. Phải gấp 15 - 40 lần thì mới đúng.
69,"Mua máy xét nghiệm Covid-19: Nơi 7 tỷ, chỗ chỉ 1,5 tỷ  https://banmaihong.wordpress.com/2020/04/26/mua-may-xet-nghiem-covid-19-noi-7-ty-cho-chi-15-ty/ … pic.twitter.com/8Uj0IIrmVK"
70,"Tổ chức Y tế thế giới (WHO) đã công nhận sản phẩm xét nghiệm Covid-19 của Việt Nam do Bộ Khoa học và Công nghệ giao cho Học viện Quân y và Công ty Việt Á phối hợp nghiên cứu và sản xuất đạt chuẩn quốc tế
 http://vn.sputniknews.com/vietnam/202004268973823-Who-cong-nhan-bo-kit-xet-nghiem-covid-19-cua-viet-nam/ …"
71,Việt Nam triển khai ứng dụng theo dõi người nhiễm Covid-19  https://rfi.my/5nyP.t  pic.twitter.com/icXtPBRD7D
72,"Thiện căn ở tại lòng ta
Chữ Tâm kia mới bằng ba chữ Tài.
Có tài mà cậy chi tài
Chữ Tài liền với chữ Tai một vần.
(Truyện Kiều - Nguyễn Du)
#StayAtHome
#Covid_19
#Vietnamese
🎥🎥Xem nhiều video tại:  https://www.youtube.com/channel/UCb1rKhNmhHr4w8jbq-898Lg …
📞📞Fanpage:  https://www.facebook.com/kudemgamer  pic.twitter.com/8aO93Z2NIP"
73,"Kịch bản nào cho thị trường bất động sản ảnh hưởng dịch COVID-19?
#bấtđộngsản
 https://www.bdscuatui.com/kich-ban-nao-cho-thi-truong-bat-dong-san-anh-huong-dich-covid-19-2-35044/?feed_id=22226&_unique_id=5ea58124f2751 …"
74,Kịch bản nào cho thị trường bất động sản ảnh hưởng dịch COVID-19?  https://goodstock.vn/kich-ban-nao-cho-thi-truong-bat-dong-san-anh-huong-dich-covid-19/ … pic.twitter.com/pKNhNydMsI
75,Covid-19: Singapore bị thêm gần 1.000 ca nhiễm trong một ngày  https://rfi.my/5nyE.t  pic.twitter.com/WYAWH3KX1a
76,"Bùi Tiến Dũng, Nguyễn Minh Trí ‘truyền lửa’ BreakTheChain chống COVID-19  http://hoicodo.com/618498/bui-tien-dung-nguyen-minh-tri-truyen-lua-breakthechain-chong-covid-19/ …"
77,"Chiều nay (26/4), Việt Nam không có thêm ca nhiễm Covid-19, còn hơn 50 nghìn người đang cách ly  https://ift.tt/2Y5FmnV  pic.twitter.com/CH1tn76L5i"
78,"Năm nay, dịch COVID-19 hoành hành khiến Nhật Bản phải đưa ra một quyết định rất khó khăn, đó là phá bỏ cánh đồng trồng hơn 80.000 bông hoa tulip đang nở rực rỡ để hạn chế đông người tụ tập, #vietnam https://www.youtube.com/watch?v=VRq7YRCKiBA …"
79,"Dịch COVID-19 chiều 26-4: Việt Nam 0 ca nhiễm mới, Singapore thêm gần 1.000 ca  https://banmaihong.wordpress.com/2020/04/26/dich-covid-19-chieu-26-4-viet-nam-0-ca-nhiem-moi-singapore-them-gan-1-000-ca/ … pic.twitter.com/CPVMv0zui6"
80,"Covid-19: Thế giới hơn 200.000 người chết, Brazil như trong phim kinh dị  https://banmaihong.wordpress.com/2020/04/26/covid-19-the-gioi-hon-200-000-nguoi-chet-brazil-nhu-trong-phim-kinh-di/ … pic.twitter.com/CtlrAhPVTj"
81,[Trực tiếp] Tin tức dịch Corona (Covid-19) mới nhất hôm nay 26/04/2020  http://trumpathon.com/truc-tiep-tin-tuc-dich-corona-covid-19-moi-nhat-hom-nay-26-04-2020/ …
82,"Các  master-nim tác nghiệp mùa covid
@B_hundred_Hyun https://twitter.com/sharesharing4/status/1254315905573502976 …"
83,Kịch bản nào cho thị trường bất động sản ảnh hưởng dịch COVID-19?  https://ngon24h.wordpress.com/2020/04/26/kich-ban-nao-cho-thi-truong-bat-dong-san-anh-huong-dich-covid-19/ … pic.twitter.com/8tySDsgr0s
84,Thương chiến và Covid-19 khép lại thời kỳ Trung Quốc là   https://chiasekienthuc.com.vn/kinh-doanh/443-thuong-chien-va-covid-19-khep-lai-thoi-ky-trung-quoc-la-cong-xuong-the-gioi-viet-nam-di-dau-trong-nhom-diem-den-moi.html …
85,Điều đáng sợ sau dịch COVID-19 đã xuất hiện  http://www.luatsuphaply.com.vn/vi/news/tin-tuc/dieu-dang-so-sau-dich-covid-19-da-xuat-hien-184.html …
86,"Hòn đảo Waiheke ở New Zealand là một địa điểm thu hút sự chú ý của các tỷ phú, giới thượng lưu Mỹ trong việc trú ẩn khỏi đại dịch Covid-19. #vietnam https://www.youtube.com/watch?v=C3ThwHvTheU …"
87,Đào Tạo Seo FOOGLESEO - Khóa Học Seo RYS 2020: Google Covid-19 Marketing Strategy Playbook via @martinibuster  https://daotaoseofoogleseo.blogspot.com/2020/04/google-covid-19-marketing-strategy.html … #daotaoseofoogleseo #khoahocseorys
88,Hai tỉnh yêu cầu báo cáo việc mua máy xét nghiệm Covid-19  https://tinviet360.com/index.php/2020/04/26/hai-tinh-yeu-cau-bao-cao-viec-mua-may-xet-nghiem-covid-19/ … pic.twitter.com/DJfMKs3ht2
89,"Mỹ nguy cơ thiếu thịt vì Covid-19: Tuần tới, các nhà hàng có thể không còn thịt…  https://goo.gl/fb/ZTzhfE  (VnExpress)"
90,Chi tiêu qua thẻ giảm mạnh vì Covid-19: Sức mua sắm trong mùa dịch đi xuống…  https://goo.gl/fb/9n1LEZ  (VnExpress)
91,"Triển khai xét nghiệm nhanh COVID-19, truy vết người có liên quan đến bệnh nhân số 268  https://tinviet360.com/index.php/2020/04/26/trien-khai-xet-nghiem-nhanh-covid-19-truy-vet-nguoi-co-lien-quan-den-benh-nhan-so-268/ … pic.twitter.com/LzK2GtxdvO"
92,"Vừa đọc bài này vừa nghe Càng xa càng nhớ VMH cover... 
Khóc...
Covid rồi sẽ là bệnh đại trà, vẫn mong Việt Nam và Thế Giới vượt qua đại dịch sớm nhất có thể T_T
 https://vnexpress.net/la-thu-tu-biet-vo-con-cua-benh-nhan-covid-19-4090355.html …"
93,"Hai ngày liên tiếp, Việt Nam không có ca mắc mới COVID-19  https://ngon24h.wordpress.com/2020/04/26/hai-ngay-lien-tiep-viet-nam-khong-co-ca-mac-moi-covid-19/ … pic.twitter.com/JKn5JScsfz"
94,Liked on YouTube: Về quê bắt ốc Mùa dịch covid-19  https://www.youtube.com/watch?v=wrNp_JVwKiE … pic.twitter.com/5O3K5ELrRz
95,Check out this article: WHO công nhận bộ xét nghiệm Covid-19 sản xuất tại Việt Nam  -  http://vietanhsongngu.com/who-cong-nhan-bo-xet-nghiem-covid-19-san-xuat-tai-viet-nam--868.htm …
96,Bác sĩ gốc Việt tình nguyện tại New York kể những phút cuối của bệnh nhân Covid-19  https://www.voatiengviet.com/a/bac-si-goc-viet-tinh-nguyen-tai-nw-ke-nhung-phut-cuoi-cua-benh-nhan-covid-19/5385229.html …
97,Các  master-nim tác nghiệp mùa covid  https://twitter.com/sharesharing4/status/1254315905573502976 …
98,Về quê bắt ốc Mùa dịch covid-19  https://www.youtube.com/watch?v=wrNp_JVwKiE … pic.twitter.com/q9kDN1tI3M
99,👍 on @YouTube: Về quê bắt ốc Mùa dịch covid-19  https://www.youtube.com/watch?v=wrNp_JVwKiE …
100,New post: Hậu Vệ Daniel Rugani Của Juventus Xét Nghiệm Dương Tính Với Covid-19  https://chungket.net/hau-ve-daniel-rugani-cua-juventus-xet-nghiem-duong-tinh-voi-covid-19/ …
101,"Nee gì, nee Covid 19!"
102,Hành trình tròn 3 tháng chống COVID-19 bên trong nơi đặc biệt nhất TP.HCM và bệnh viện dã chiến “từ ZERO đến HERO”  https://ngon24h.wordpress.com/2020/04/26/hanh-trinh-tron-3-thang-chong-covid-19-ben-trong-noi-dac-biet-nhat-tp-hcm-va-benh-vien-da-chien-tu-zero-den-hero/ … pic.twitter.com/gimEF6WAJO
103,Nga điêu đứng khi số ca nhiễm COVID-19 mới cao chưa từng thấy  http://hoicodo.com/618469/nga-dieu-dung-khi-so-ca-nhiem-covid-19-moi-cao-chua-tung-thay/ … pic.twitter.com/dURa9y7NXG
104,Covid-19: Bất đồng giữa chính phủ Pháp và Hội Đồng Khoa Học về ngày mở lại trường học  https://rfi.my/5nwu.t  pic.twitter.com/2U5UOwqAl4
105,Hậu Vệ Daniel Rugani Của Juventus Xét Nghiệm Dương Tính Với Covid-19  https://ift.tt/3eRVXBz 
106,Chuỗi nhà sách lớn nhất Việt Nam dự kiến giảm nghìn tỷ doanh thu và 90% lợi nhuận vì Covid-19  https://goodstock.vn/chuoi-nha-sach-lon-nhat-viet-nam-du-kien-giam-nghin-ty-doanh-thu-va-90-loi-nhuan-vi-covid-19/ … pic.twitter.com/6wI5BvC41K
107,Hải Phòng là đội đầu tiên xin lùi lịch thi đấu Cúp Quốc gia 2020 vì COVID-19  http://hoicodo.com/618463/hai-phong-la-doi-dau-tien-xin-lui-lich-thi-dau-cup-quoc-gia-2020-vi-covid-19/ … pic.twitter.com/Vf5a0hVYKV
108,Covid-19 ảnh hưởng chuỗi cung ứng dịch vụ và thương mại điện tử  https://ift.tt/2xQbPUE 
109,Junior Sambia - cầu thủ Ligue 1 qua cơn nguy kịch do nhiễm Covid-19  http://dlvr.it/RVTRlG  pic.twitter.com/3uUyziBTQ2
110,"Nga huy động sinh viên y khoa chống Covid-19 |  http://zpr.io/tJv8A 
#vietnews #tin_Viet #LB_Nga #nướс_Nga"
111,"Thương chiến và Covid-19 khép lại thời kỳ Trung Quốc là “công xưởng thế giới”, Việt Nam đi đầu trong nhóm điểm đến mới  https://ngon24h.wordpress.com/2020/04/26/thuong-chien-va-covid-19-khep-lai-thoi-ky-trung-quoc-la-cong-xuong-the-gioi-viet-nam-di-dau-trong-nhom-diem-den-moi/ … pic.twitter.com/yUZ0NmT8sr"
112,Blog's Dương Lê Tường Vy: Google Covid-19 Marketing Strategy Playbook via @martinibuster  https://bit.ly/2VBdjuN 
113,Thêm 2 ca nhiễm COVID-19 mới là du học sinh từ Nhật Bản về  http://thienhasu2018.com/2020/04/26/them-2-ca-nhiem-covid-19-moi-la-du-hoc-sinh-tu-nhat-ban-ve/ … pic.twitter.com/sPCYedBD8m
114,WHO: “Thảm kịch không thể tưởng tượng” vì COVID-19 đang diễn ra ở châu Âu  http://thienhasu2018.com/2020/04/26/who-tham-kich-khong-the-tuong-tuong-vi-covid-19-dang-dien-ra-o-chau-au/ … pic.twitter.com/dHra7t5C1q
115,Nghe nói bưu điện nào đó ở Kanto đóng cửa do có nhân viên nhiễm covid... Mình cũng ngại làm phiền mấy bạn nên cũng không hỏi gì. Giờ bạn nói mới d1 đã chịu không nổi thì mình cũng không vội nữa. Quan trọng là chuẩn bị tinh thần vững vàng :>
116,"Người Việt trẻ ở Nga và 'làn sóng tình nguyện chưa từng có' trong dịch Covid-19 |  http://zpr.io/tJvN3 
#vietnews #tin_Viet #LB_Nga #nướс_Nga"
117,Cục Hàng không: Các hãng phải hoàn tiền vé chuyến bay bị hủy cho hành khách trong dịch Covid-19  https://ift.tt/3bzMQU1 
118,Orange County cân nhắc nới lỏng phong tỏa COVID-19 vào Tháng Năm  https://youtu.be/tZoGshL-NyA  qua @YouTube
119,"Các bạn thừa biết Loa karaoke quan trọng như thế nào trong bộ dàn phải không? Nhưng không phải ai cũng biết chọn loa hay đâu nhé
Tham khảo bài viết:  http://bit.ly/3bEFizr 
Hotline: 1900 0255 |  http://chauaudio.com 
#loakaraoke #amthanhso24h #vietnam #Covid_19 pic.twitter.com/9C2zjzKyda"
120,"- Trans IG Saintsup -
Quyên góp từ những trái tim tốt lành. Saint đã sử dụng để mua thức ăn và những vật dụng cần thiết để giúp đỡ những ai bị ảnh hưởng bởi Covid - 19. 
#Saint_sup
#MingEr pic.twitter.com/KUpKwxJ4uU"
