,content
12,Bệnh viện Covid-19 Cần Giờ ngưng hoạt động  https://tinviet360.com/index.php/2020/05/03/benh-vien-covid-19-can-gio-ngung-hoat-dong/ … pic.twitter.com/e1AenBbsXh
13,Thủ tướng Anh nói đã có phương án 'nếu tôi chết vì Covid-19...'  https://bbc.in/3d6hfcM 
14,Thảo Tiên tận hưởng cuộc sống sau khi khỏi Covid-19 - VnExpress Giải trí  https://bit.ly/2YsfItv 
15,Căn hộ giá rẻ vẫn hút khách bất chấp Covid-19?  pic.twitter.com/6owDzqVENB
16,Tập đoàn Berkshire Hathaway lỗ 50 tỷ USD vì Covid-19 - VnExpress Kinh doanh  https://bit.ly/3d8uD01 
17,Béo phì gây 'bão cytokine' ở bệnh nhân Covid-19 - VnExpress Sức khỏe  https://bit.ly/2SwuCLI 
18,Covid-19: Một ca nhiễm mới - VnExpress Sức khỏe  https://vnexpress.net/covid-19-mot-ca-nhiem-moi-4071803.html …
19,Ngắm gái xinh nude đẹp nhất mùa covid  https://anhdep24.net/p/ngam-gai-xinh-nude-dep-nhat-mua-covid-1586317779#.Xq7or1SAmLs.twitter …
20,Hơn 3 triệu người mắc Covid-19 trên toàn cầu  https://tinhangngay.vn/hon-3-trieu-nguoi-mac-covid-19-tren-toan-cau/ … pic.twitter.com/KlBmrRv74R
21,51 đơn vị được phép thực hiện xét nghiệm khẳng định Covid-19  https://tinhangngay.vn/51-don-vi-duoc-phep-thuc-hien-xet-nghiem-khang-dinh-covid-19/ … pic.twitter.com/piTcBhRIiG
22,Covid-19: Tình báo 5 nước nghi Trung Quốc nói dối về nCoV  https://bit.ly/2Sxt3No 
23,Mua máy xét nghiệm Covid-19 giá hơn 7 tỷ ở Quảng Nam:Xử nghiêm nếu sai phạm  https://tinhangngay.vn/mua-may-xet-nghiem-covid-19-gia-hon-7-ty-o-quang-namxu-nghiem-neu-sai-pham/ … pic.twitter.com/GwQNyFxkF5
24,"Gọi là ""giờ covid""  pic.twitter.com/4BQD1QNAye"
25,#1 Căn hộ giá rẻ vẫn hút khách bất chấp Covid-19?  https://resviet.vn/can-ho-gia-re-van-hut-khach-bat-chap-covid-19/#.Xq7lZ8b4tHU.twitter …
26,Anh sắp vượt qua Italy về số ca tử vong do Covid-19  https://tinquangbinh.com/2020/05/981399/anh-sap-vuot-qua-italy-ve-so-ca-tu-vong-do-covid-19/ … pic.twitter.com/yC4Q2DQnk6
27," https://mangyte.vn/benhlive.aspx 
Bệnh viêm phổi do Virus Corona (COVID-19) | mạng y tế,chăm sóc sức khỏe,sinh sản,thuốc biệt dược,khám chữa bệnh"
28,Tình hình dịch virus corona (Covid-19) ngày 24/4: liên tiếp 8 ngày Việt Nam không có ca mới  https://opentro.com/tinh-hinh-dich-virus-corona-covid-19-ngay-24-4-lien-tiep-8-ngay-viet-nam-khong-co-ca-moi/ … pic.twitter.com/Au9bAikSoh
29,"Bill Gates: Vắc xin COVID-19 có thể có trong 9 tháng tới, chỉ cần hiệu quả 70% là đủ  http://dlvr.it/RVwl7D  pic.twitter.com/HZTFglbSKy"
30,Sớm nghiên cứu để có câu trả lời về các ca tái nhiễm Covid-19  https://tinhangngay.vn/som-nghien-cuu-de-co-cau-tra-loi-ve-cac-ca-tai-nhiem-covid-19/ … pic.twitter.com/IQUmRDe0oA
31,Nhật ký Covid-19 ngày 148 (03/05/2020) | Hướng nội  https://youtu.be/x5m6MsIajgo  via @YouTube
32,Việt Nam có thêm một ca nhiễm COVID-19 sau 9 ngày không ghi nhận ca nhiễm mới  https://www.nguoi-viet.com/nvtv-tin-tuc/nvtv-diem-tin-buoi-sang/viet-nam-them-mot-ca-nhiem-covid-19-sau-9-ngay-khong-ca-nhiem-moi/ …
33,Covid-19: Anh từng chuẩn bị cho tình huống thủ tướng chết vì nCoV  https://bit.ly/2YrpKer 
34,"Nghiên cứu 113 bệnh nhân Covid-19 tử vong, bác sĩ phát hiện nhiều bất ngờ  https://tinviet360.com/index.php/2020/05/03/nghien-cuu-113-benh-nhan-covid-19-tu-vong-bac-si-phat-hien-nhieu-bat-ngo/ … pic.twitter.com/fCtaRkpIM2"
35,WHO quả quyết COVID-19 không phải do con người tạo ra  http://hoicodo.com/621559/who-qua-quyet-covid-19-khong-phai-do-con-nguoi-tao-ra/ … pic.twitter.com/YsS0a6f5Pf
36,Covid-19 chiều 3/5: Thêm một ca nhiễm mới  https://bit.ly/3bUIaIu 
37,Việt Nam sẵn sàng hợp tác với Estonia đẩy lùi dịch bệnh Covid-19  https://tinquangbinh.com/2020/05/981388/viet-nam-san-sang-hop-tac-voi-estonia-day-lui-dich-benh-covid-19/ … pic.twitter.com/Jbzljta6NI
38,Ấn Độ cho phép 88 chuyên gia y tế tới Vùng Vịnh giúp đối phó Covid-19  https://tinquangbinh.com/2020/05/981385/an-do-cho-phep-88-chuyen-gia-y-te-toi-vung-vinh-giup-doi-pho-covid-19/ … pic.twitter.com/yNuET6otpf
39,Tin tức dịch bệnh corona ( Covid-19 ) sáng 21/4 Tin tổng hợp virus corona Việt Nam đại dịch Vũ Hán  https://opentro.com/tin-tuc-dich-benh-corona-covid-19-sang-21-4-tin-tong-hop-virus-corona-viet-nam-dai-dich-vu-han/ … pic.twitter.com/BEpuX1pxxA
40,"Số ca mắc COVID-19 ở Nga tăng kỷ lục, Hàn Quốc nới lỏng biện pháp hạn chế  https://vtc.vn/thoi-su-quoc-te/so-ca-mac-covid-19-o-nga-tang-ky-luc-han-quoc-noi-long-bien-phap-han-che-ar543785.html …"
41,Thế giới cần bao nhiêu liều vắc xin để chặn đứng đại dịch COVID-19?  https://tinhangngay.vn/the-gioi-can-bao-nhieu-lieu-vac-xin-de-chan-dung-dai-dich-covid-19/ … pic.twitter.com/NItJPJnLEB
42,"Số ca mắc COVID-19 tại Ấn Độ tăng kỷ lục, EU kêu gọi góp tiền sản xuất vaccine  https://vtc.vn/thoi-su-quoc-te/so-ca-mac-covid-19-tai-an-do-tang-ky-luc-eu-keu-goi-gop-tien-san-xuat-vaccine-ar543810.html …"
43,Séc hỗ trợ các cơ sở kinh doanh phải đóng cửa do dịch Covid-19  https://tinquangbinh.com/2020/05/981374/sec-ho-tro-cac-co-so-kinh-doanh-phai-dong-cua-do-dich-covid-19/ … pic.twitter.com/1PjjtR3ZjO
44,"📽 TRINITY FOR CHARITY 

Thank you @4NOLOGUE for doing this meaningful action and putting effort on the fight against Covid-19! ❤️ 

Cảm ơn 4NOLOGUE vì hành động trao tặng đầy ý nghĩa này trong cuộc chiến chống Covid-19! ❤️
#4NOLOGUESHARINGBOX #4NOLOGUEARTIST #TRINITY_TNT pic.twitter.com/mDf4DL2wdu"
45,"Kendall Jenner thiết kế áo, ủng hộ 100% tiền bán để chống Covid-19  https://tinhangngay.vn/kendall-jenner-thiet-ke-ao-ung-ho-100-tien-ban-de-chong-covid-19/ … pic.twitter.com/kxrubLUW7m"
46,"#covid-19 #vaccine Các nhà nghiên cứu Đại học Queensland cho biết các thử nghiệm ban đầu của vắc-xin COVID-19 đã cho thấy kết quả đầy hứa hẹn để chống lại loại virus chết người này. 

 https://www.vietqld.com.au/khoedep/suc-khoe/queensland-co-ket-qua-day-hua-hen-ve-vac-xin-covid-19/ …"
47,"[INFO]
Nữ diễn viên HQ, Ha Jiwon đã gắn thẻ V với #덕분에챌린지 (Thử thách 'Because of you'👍)trên IG của cô. Thử thách này dành cho các nhân viên y tế đã làm việc chăm chỉ chống lại đại dịch COVID-19. Ha Jiwon là bạn của Tae, cô là nữ diễn viên hàng đầu ở HQ  pic.twitter.com/kv95DzxOkS"
48,"Hậu quả Covid-19
- Anh giúp giùm em chồng em nó giữ chìa khoá
- Rồi thằng chồng em đâu
- Dạ nó tắt rồi
- Sao không lấy chìa khoá lại
- Dạ nó dương tính với Covid rồi tắt khi cách ly chôn nó với chìa khoá
- .....  pic.twitter.com/NxdyjfyZMg"
49,Người nhập cảnh vào TP.HCM sẽ phải xét nghiệm COVID-19 bốn lần  https://ngon24h.wordpress.com/2020/05/03/nguoi-nhap-canh-vao-tp-hcm-se-phai-xet-nghiem-covid-19-bon-lan/ …
50,"Dịch COVID-19, Mỹ là thị trường xuất khẩu số 1 của Việt Nam  https://ngon24h.wordpress.com/2020/05/03/dich-covid-19-my-la-thi-truong-xuat-khau-so-1-cua-viet-nam/ … pic.twitter.com/ApxriKP1ra"
51,"Cập nhật 7h ngày 26/4: Số ca tử vong do Covid-19 trên toàn cầu vượt ngưỡng 200.000 người, New York (Mỹ) đang dần hạ nhiệt  https://tinhangngay.vn/cap-nhat-7h-ngay-26-4-so-ca-tu-vong-do-covid-19-tren-toan-cau-vuot-nguong-200-000-nguoi-new-york-my-dang-dan-ha-nhiet/ … pic.twitter.com/aVEgjOXBKN"
52,"Covid-19 - ""Cúm Tây Ban Nha"" : Một thế kỷ, hai đại dịch và những điểm tương đồng  http://rfi.my/5qEk.T  qua @RFI_Vi"
53,"Cập nhật Covid-19: Thế giới gần 3,5 triệu ca mắc, Mỹ hơn 1,1 triệu ca  https://tinquangbinh.com/2020/05/981360/cap-nhat-covid-19-the-gioi-gan-35-trieu-ca-mac-my-hon-11-trieu-ca/ … pic.twitter.com/MoAv1iJfRD"
54,"Việt Nam ghi nhận ca mắc COVID-19 mới, được cách ly sau khi nhập cảnh  https://www.vietnamplus.vn/viet-nam-ghi-nhan-ca-mac-covid19-moi-duoc-cach-ly-sau-khi-nhap-canh/638083.vnp …"
55,Bảo hộ công dân Việt Nam mắc kẹt tại Mỹ mùa COVID-19 #news  https://www.facebook.com/410892812277692_3278468795520065 …
56,"Thêm một ca mắc Covid-19, cả nước có 271 bệnh nhân  https://tinhangngay.vn/them-mot-ca-mac-covid-19-ca-nuoc-co-271-benh-nhan/ … pic.twitter.com/D2tdg90iGL"
57,Bệnh viện điều trị COVID-19 Cần Giờ tạm ngưng hoạt động  https://tinviet360.com/index.php/2020/05/03/benh-vien-dieu-tri-covid-19-can-gio-tam-ngung-hoat-dong/ … pic.twitter.com/nxvtGoFNP5
58,Việt Nam ghi nhận ca bệnh COVID-19 thứ 271 là chuyên gia dầu khí người Anh  http://hoicodo.com/621534/viet-nam-ghi-nhan-ca-benh-covid-19-thu-271-la-chuyen-gia-dau-khi-nguoi-anh/ … pic.twitter.com/02lhp3FjxE
59,"Cologne vẫn tập luyện dù có 3 cầu thủ dính Covid-19 – Euro888
""Cả 3 sẽ tiến hành cách ly tại nhà trong vòng 14 ngày. Chúng tôi sẽ không tiết lộ danh tính của bất kỳ ai vì tôn trọng quyền riêng tư.”
Xem thêm tại:  https://euro888.com/  pic.twitter.com/yf43SwFKtM"
60,Tin tức dịch bệnh corona ( Covid-19 ) sáng 20/4 Tin tổng hợp virus corona Việt Nam đại dịch Vũ Hán  https://opentro.com/tin-tuc-dich-benh-corona-covid-19-sang-20-4-tin-tong-hop-virus-corona-viet-nam-dai-dich-vu-han/ … pic.twitter.com/7XesOPHktC
61,Tình cảnh người da đen ở Quảng Châu (Trung Quốc) vào mùa dịch Covid-19  https://tinquangbinh.com/2020/05/981345/tinh-canh-nguoi-da-den-o-quang-chau-trung-quoc-vao-mua-dich-covid-19/ … pic.twitter.com/jPlKpO3Okx
62,NGÀNH NGÂN HÀNG DÀNH NHIỀU ƯU ĐÃI CHO CÁC DOANH NGHIỆP BỊ ẢNH HƯỞNG BỞI ĐẠI DỊCH COVID-19  https://tinhangngay.vn/nganh-ngan-hang-danh-nhieu-uu-dai-cho-cac-doanh-nghiep-bi-anh-huong-boi-dai-dich-covid-19/ …
63,"TP Hồ Chí Minh: Xuất hiện ca nhiễm Covid-19 mới thứ 271, là chuyên gia của Tập đoàn Dầu khí đến từ Anh #news  https://www.facebook.com/458165730916615_3169926656407162 …"
64,Nhật Bản sắp cấp phép thuốc điều trị Covid-19 đầu tiên  https://tinhangngay.vn/nhat-ban-sap-cap-phep-thuoc-dieu-tri-covid-19-dau-tien/ … pic.twitter.com/VkkgI3lHOa
65,Nhật Bản lo “vỡ trận” vì COVID-19  http://hoicodo.com/621518/nhat-ban-lo-vo-tran-vi-covid-19/ … pic.twitter.com/QmAdkv9lAz
66,GDP của Áo sẽ giảm 8% do ảnh hưởng của dịch Covid-19  https://tinquangbinh.com/2020/05/981332/gdp-cua-ao-se-giam-8-do-anh-huong-cua-dich-covid-19/ … pic.twitter.com/Cq2tfvtoA2
67,Jaejoong trở thành đại sứ mỹ phẩm sau scandal đùa nhiễm Covid-19  https://tinhangngay.vn/jaejoong-tro-thanh-dai-su-my-pham-sau-scandal-dua-nhiem-covid-19/ … pic.twitter.com/OZjl8ziCyT
68,Thủ tướng Tây Ban Nha muốn kéo dài lệnh phong tỏa do Covid-19  https://tinquangbinh.com/2020/05/981311/thu-tuong-tay-ban-nha-muon-keo-dai-lenh-phong-toa-do-covid-19/ … pic.twitter.com/BELzB8GCzj
69,"Chiều 3/5, Việt Nam ghi nhận một ca mắc COVID-19, được cách ly ngay từ khi nhập cảnh  https://tinviet360.com/index.php/2020/05/03/chieu-3-5-viet-nam-ghi-nhan-mot-ca-mac-covid-19-duoc-cach-ly-ngay-tu-khi-nhap-canh/ … pic.twitter.com/GL2OGZnb5V"
70,"चाचा forever.....
 ❤️❤️❤️
#Covid_19india
#indianairforce #IndiaFightsCoronavirus pic.twitter.com/JHj5V2OrJE"
71,Việt Nam ghi nhận 1 ca nhiễm COVID-19 mới  https://gdvn.net/viet-nam-ghi-nhan-1-ca-nhiem-covid-19-moi.html … pic.twitter.com/4nLfMjWLFm
72,Tin tức dịch bệnh corona ( Covid-19 ) chiều 15/4 Tin tổng hợp virus corona Việt Nam đại dịch Vũ Hán  https://opentro.com/tin-tuc-dich-benh-corona-covid-19-chieu-15-4-tin-tong-hop-virus-corona-viet-nam-dai-dich-vu-han/ … pic.twitter.com/uLapwO83jN
73,7 kỉ lục Apple thiết lập được vào đầu năm 2020 bất chấp COVID-19  https://tinhangngay.vn/7-ki-luc-apple-thiet-lap-duoc-vao-dau-nam-2020-bat-chap-covid-19/ … pic.twitter.com/abEvspMVnS
74,Việt Nam ghi nhận 1 ca nhiễm COVID-19 mới  https://cafeso.net/viet-nam-ghi-nhan-1-ca-nhiem-covid-19-moi.html … pic.twitter.com/zamoBqqbSZ
75,Bộ Y tế công bố thêm 1 ca bệnh nhiễm COVID-19  https://ift.tt/2VY0k6D  pic.twitter.com/G0SzwFrUeV
76,Hệ thống y tế Nhật Bản đối mặt nguy cơ sụp đổ vì dịch Covid-19  https://tinquangbinh.com/2020/05/981295/he-thong-y-te-nhat-ban-doi-mat-nguy-co-sup-do-vi-dich-covid-19/ … pic.twitter.com/ZEjE682OPD
77,#von.gov.ng.COVID-19:Àwọn ènìyàn okòólénígba (220) míràn tún jẹyọ lórílẹ̀ èdè Nàíjíríà. https://www.von.gov.ng/yoruba/covid-19awon-eniyan-okoolenigba-220-miran-tun-jeyo-lorile-ede-naijiria/ …. pic.twitter.com/Je40CDZWD3
78,Dịch COVID-19: Ngân hàng chật vật phát mãi nợ xấu bất động sản  https://ngon24h.wordpress.com/2020/05/03/dich-covid-19-ngan-hang-chat-vat-phat-mai-no-xau-bat-dong-san/ … pic.twitter.com/icSIwiMoKp
79,Thủ tướng Anh tiết lộ các bác sĩ đã lên kế hoạch nếu ông chết vì COVID-19  https://ngon24h.wordpress.com/2020/05/03/thu-tuong-anh-tiet-lo-cac-bac-si-da-len-ke-hoach-neu-ong-chet-vi-covid-19/ …
80,"Thêm một ca mắc Covid-19, cả nước 271 bệnh nhân  https://tinhangngay.vn/them-mot-ca-mac-covid-19-ca-nuoc-271-benh-nhan/ … pic.twitter.com/ES9NPDUINp"
81,Tin tức dịch bệnh corona ( Covid-19 ) chiều 30/3 Tin tổng hợp virus corona Việt Nam đại dịch Vũ Hán  https://opentro.com/tin-tuc-dich-benh-corona-covid-19-chieu-30-3-tin-tong-hop-virus-corona-viet-nam-dai-dich-vu-han/ … pic.twitter.com/5tSzHUrYPZ
82,"Ngoài Covid-19, thế giới cần cảnh giác các dịch bệnh nguy hiểm khác  https://tinquangbinh.com/2020/05/981281/ngoai-covid-19-the-gioi-can-canh-giac-cac-dich-benh-nguy-hiem-khac/ … pic.twitter.com/OjNzapEcNt"
83,#von.gov.ng.COVID-19: Dangote fún ìpínlẹ̀ Kano ní irinwó ilé-ìtọ́jú àyẹ̀wò alágbèékà. https://www.von.gov.ng/yoruba/covid-19-dangote-fun-ipinle-kano-ni-irinwo-ile-itoju-ayewo-alagbeeka/ … pic.twitter.com/zdwA2NywUN
84,Việt Nam có thêm 1 ca mắc Covid-19 mới nhập cảnh từ Anh  http://hoicodo.com/621479/viet-nam-co-them-1-ca-mac-covid-19-moi-nhap-canh-tu-anh/ … pic.twitter.com/J71WiAWzIS
85,Lao động di cư ẩn chứa nguy cơ lây nhiễm Covid-19 tại Đông Nam Á  https://tinquangbinh.com/2020/05/981273/lao-dong-di-cu-an-chua-nguy-co-lay-nhiem-covid-19-tai-dong-nam-a/ … pic.twitter.com/oukDsu2aqX
86,Ford hủy kế hoạch sản xuất xe điện với ‘startup’ Rivian vì COVID-19  https://www.nguoi-viet.com/xe-hoi/xe-hoi-tin-moi/ford-huy-ke-hoach-san-xuat-xe-dien-voi-startup-rivian-vi-covid-19/ …
87,"#Covid_19 #Nigeria #Restructuring.     Amunkun, ọrùn rẹ wọ ó!!  A, òkè lẹ ń wò, ẹ ó wo ìsàlẹ̀ tó ti wọ wá."
88,"đọc bài này tự hào quá mn oi :((((

Why Vietnam won and US lost their Covid-19 wars - Asia Times  https://asiatimes.com/2020/04/why-vietnam-won-and-us-lost-their-covid-19-wars/ …"
89,"Cập nhật dịch Covid-19 ở Việt Nam sáng 26/4: Không có ca mắc mới, cảnh báo về làn sóng lây nhiễm thứ 2  https://tinhangngay.vn/cap-nhat-dich-covid-19-o-viet-nam-sang-26-4-khong-co-ca-mac-moi-canh-bao-ve-lan-song-lay-nhiem-thu-2/ … pic.twitter.com/rGtmBEfDEF"
90,"Covid-19 - ""Cúm Tây Ban Nha"" : Một thế kỷ, hai đại dịch và những điểm tương đồng  https://rfi.my/5qEq.t  pic.twitter.com/aBWtFPyV0a"
91,Tình báo 5 nước nghi Trung Quốc nói dối về Covid-19  http://hoicodo.com/621458/tinh-bao-5-nuoc-nghi-trung-quoc-noi-doi-ve-covid-19/ … pic.twitter.com/u12oG4CgEY
92,"Chiều 3/5, ca mắc COVID-19 số 271 ở Việt Nam là chuyên gia người Anh được cách ly ngay sau khi nhập cảnh  https://ngon24h.wordpress.com/2020/05/03/chieu-3-5-ca-mac-covid-19-so-271-o-viet-nam-la-chuyen-gia-nguoi-anh-duoc-cach-ly-ngay-sau-khi-nhap-canh/ … pic.twitter.com/NGx2im9ALu"
93,Covid-19 : Áp lực lên các bệnh viện Pháp tiếp tục giảm  http://rfi.my/5qDd.T  qua @RFI_Vi
94,Dịch COVID-19 chiều 3-5: Thủ tướng Anh đặt tên con theo bác sĩ chữa cho mình #news  https://tuoitre.vn/dich-covid-19-chieu-3-5-thu-tuong-anh-dat-ten-con-theo-bac-si-chua-cho-minh-20200503125729686.htm … TTO - Việt Nam ghi nhận 1 ca nhiễm mới là chuyên gia người Anh vừa nhập cảnh. Trong khi đó Thủ tướng Anh đặt tên con theo bác sĩ chữa cho mình.
95,Tin Trung Quốc ngày 3/5/2020 - Trung Quốc muốn lợi dụng dịch COVID 19 để...  https://youtu.be/soDf0RYte8g  qua @YouTube
96,Nhà virus học Trung Quốc bác tin “đào tẩu” cùng tài liệu mật về COVID-19  http://hoicodo.com/621454/nha-virus-hoc-trung-quoc-bac-tin-dao-tau-cung-tai-lieu-mat-ve-covid-19/ … pic.twitter.com/Is5nqnsmO7
97,"🔖 Chiều 3/5, ca mắc COVID-19 số 271 ở Việt Nam là chuyên gia người Anh được cách ly ngay sau khi nhập cảnh.
💠 Theo bản tin 18h00 ngày 3/5, của Ban Chỉ đạo Quốc gia Phòng chống dịch COVID-19, hôm nay Việt Nam có thêm 01 ca bệnh là…  https://thanhphohaiphong.gov.vn/chieu-3-5-ca-mac-covid-19-so-271-o-viet-nam-la-chuyen-gia-nguoi-anh-duoc-cach-ly-ngay-sau-khi-nhap-canh.html … pic.twitter.com/KqjAKGphyi"
98,Tác giả Harry Potter ủng hộ 1 triệu bảng Anh giúp đỡ các nạn nhân trong dịch Covid-19  https://goo.gl/fb/xzhhWX 
99,Covid-19 : Singapore chuẩn bị nới lỏng dần phong tỏa  https://rfi.my/5qEQ.t  pic.twitter.com/mn7n7Fq1Q5
100,Việt Nam ghi nhận thêm một ca mắc Covid-19  https://tinhangngay.vn/viet-nam-ghi-nhan-them-mot-ca-mac-covid-19/ … pic.twitter.com/oS7QXQXiK3
101,"Vắc xin COVID có thể có trong 9 tháng tới, chỉ cần hiệu quả 70%  https://ift.tt/3b0lrcC  pic.twitter.com/R3Hm8freeO"
102,Việt Nam chia sẻ kinh nghiệm chống dịch Covid-19 với thế giới  https://tinviet360.com/index.php/2020/05/03/viet-nam-chia-se-kinh-nghiem-chong-dich-covid-19-voi-the-gioi/ … pic.twitter.com/xlqlahOUrd
103,Mxxmmm
104,"Vợ qua đời vì COVID-19, chồng tháo mặt nạ thở oxy để chết cùng  https://tinhangngay.vn/vo-qua-doi-vi-covid-19-chong-thao-mat-na-tho-oxy-de-chet-cung/ … pic.twitter.com/VQuM9Wn48o"
105,Thầy đá bóng bị què chân từ đầu covid đến giờ a =))
106,Australia thử nghiệm vaccine phòng chống Covid-19 trên chồn  https://tinquangbinh.com/2020/05/981229/australia-thu-nghiem-vaccine-phong-chong-covid-19-tren-chon/ … pic.twitter.com/Zdey8lpfqq
107,Ôtô trong nước ế ẩm vì Covid-19: Lượng sản xuất quý I giảm trên 10% so với cùng…  https://goo.gl/fb/mVSMXj  (VnExpress)
108,Tập đoàn Berkshire Hathaway lỗ 50 tỷ USD vì Covid-19: Đợt bán tháo trên thị…  https://goo.gl/fb/1fKjDo  (VnExpress)
109,#von.gov.ng.COVID-19: Ọrọ̀ ajé Nàíjíríà yóò dára ju àtẹ̀yìnwá lọ lẹ́yìn ààrùn Corona- Osinbajo. http://www.von.gov.ng/yoruba/auto-draftcovid-19-oro-aje-naijiria-yoo-dara-ju-ateyinwa-lo-leyin-aarun-corona-osinb/ … pic.twitter.com/gf8DmsfHuo
110,Gần 3.300 phạm nhân mắc Covid-19 ở Mỹ  https://tinhangngay.vn/gan-3-300-pham-nhan-mac-covid-19-o-my/ …
111,Bí thư Nhân chỉ ra 3 nguy cơ lây nhiễm COVID-19  https://tinhangngay.vn/bi-thu-nhan-chi-ra-3-nguy-co-lay-nhiem-covid-19/ … pic.twitter.com/RRCZDn4wDe
112,"""Tin tức thời sự 24h mới nhất ngày 3/5/2020: Tin mới về Covid-19 #news  https://www.facebook.com/269646396405852_2876434425727023 … Cập nhật những tin tức mới nhất

Cập nhật những tin tức thời sự 24h mới nhất, nóng nhất ngày 3/5/2020 liên quan đến Covid-19."""
113,"Đời sống người dân thế giới trong mùa dịch covid-19, cập nhật 3/5/2020 #news https://www.facebook.com/1736978526536864_2732180247016682 …"
114,"ASEAN Para Games 2020 bị hủy vì COVID-19, sau 2 lần báo hoãn  http://hoicodo.com/621434/asean-para-games-2020-bi-huy-vi-covid-19-sau-2-lan-bao-hoan/ … pic.twitter.com/bf2lNhM5us"
115,Navigos Search ‘hỗ trợ sự nghiệp’ cho người lao động trong dịch Covid-19  https://goo.gl/fb/7wNvtL  #thịtrường
116,รอ cpr ป่ะ อยากลอง flowใหม่ Crp R/O covid every case ......
117,Chiếc sofa xanh giảm căng thẳng cho bác sĩ Anh trong dịch Covid-19  https://tinhangngay.vn/chiec-sofa-xanh-giam-cang-thang-cho-bac-si-anh-trong-dich-covid-19/ … pic.twitter.com/xmznPg2FBI
118,Việt Nam có 265 ca mắc COVID-19 | Bệnh nhân số 22 dương tính lại sau khi khỏi COVID-19 VTV24  https://opentro.com/viet-nam-co-265-ca-mac-covid-19-benh-nhan-so-22-duong-tinh-lai-sau-khi-khoi-covid-19-vtv24/ … pic.twitter.com/OXyDdmEd0r
119,"tại con đĩ covid nên mới mệt thế này nhưng chắc chắn là Mino sẽ có solo cc trước khi nhập ngũ mà cuối năm nay còn phải chạy mấy cái festival nữa không biết sẽ cb khi nào, thôi tất cả trông cậy vào yg mong nó tính kiểu gì chu đáo cho Mino đc thì tính"
120,Phim chiếu mạng lần đầu được tranh giải Oscar vì dịch Covid-19  https://tinhangngay.vn/phim-chieu-mang-lan-dau-duoc-tranh-giai-oscar-vi-dich-covid-19/ … pic.twitter.com/dAXnBcxSyW
121,Covid-19 : Áp lực lên các bệnh viện Pháp tiếp tục giảm  https://rfi.my/5qDe.t  pic.twitter.com/po7QQSv922
122,"Biển người Trung Quốc “lấp kín” công viên, khu du lịch hậu COVID-19  http://hoicodo.com/621410/bien-nguoi-trung-quoc-lap-kin-cong-vien-khu-du-lich-hau-covid-19/ … pic.twitter.com/4Xq24RAaeC"
