,content
10,Những ý tưởng tổ chức sinh nhật cực độc đáo trong mùa dịch Covid-19  https://bangtin.vn/nhung-y-tuong-to-chuc-sinh-nhat-cuc-doc-dao-trong-mua-dich-covid-19/ …
11,"#ARMYSelcaDay vui vẻ nha💜
Ở nhà riết tăng cân nên làm thế nào cũng không thấy ổn  😌 Đành ngồi ngắm dàn hậu cung cực phẩm nhà mình vậy.
[ Mong sao cho Covid-19 mau đi qua  để mọi thứ tốt hơn ]

@BTS_twt
#BTS
#BTSARMY pic.twitter.com/x1sPJxlau7"
12,Cần lưu ý gì khi nhận hàng từ shipper trong mùa dịch Covid-19?  https://bangtin.vn/can-luu-y-gi-khi-nhan-hang-tu-shipper-trong-mua-dich-covid-19/ …
13,chị em tụ tập chống covid-19🥳😆😆😆😆  pic.twitter.com/DBWMcVyojR
14,06/04/2020 - Khui thùng mỳ tôm Mộc Việt ngon tuyệt tránh dịch COVID 19|O...  https://youtu.be/fIfEJ9JUvY8  qua @YouTube
15,Top 5 Trò chơi trong nhà mà bố mẹ nên áp dụng với bé trong mùa dịch Covid-19  https://ift.tt/3aMXTsJ 
16,"Ẹyin ènìyàn mi ni ìpínlè Ondo.

Mo báwayọ̀ fún ìdúróṣinṣin ni ojú rògbòdìyàn tí ó ń dojú kọ wá.

Ifowosowopo ni a fi lè Segun àrùn Covid-19.

Mo rọ láti kó gbogbo ohun tí a bá ní láti rán ara wa lọ́wọ́ ni àkókò yìí.  pic.twitter.com/wE0e8z5Jx2"
17,"Thủ tướng yêu cầu khẩn trương xử lý các hành vi vi phạm liên quan đến phòng, chống dịch COVID-19  http://hoicodo.com/610509/thu-tuong-yeu-cau-khan-truong-xu-ly-cac-hanh-vi-vi-pham-lien-quan-den-phong-chong-dich-covid-19/ … pic.twitter.com/hOMU53EdzH"
18,"Ngày 2/4/2020, TAOrusBOY đã ủng hộ số tiền 5.000.000 VND cho quỹ đẩy lùi dịch COVID-19 của chính phủ Việt Nam dưới danh nghĩa cộng động người hâm mộ Hoàng Tử Thao. Hy vọng với sự giúp sức nhỏ của Hailang, Việt Nam sẽ nhanh chóng chiến thắng đại dịch.  https://twitter.com/TAOrusBOY_VN/status/1247191413978066950 …"
19,"Đào Tạo Seo FOOGLESEO - Khóa Học Seo RYS 2020: How to Overcome the Impact of COVID-19 with FAQs, Schema, AMP & Voice Search [Webinar] via @brentcsutoras  https://daotaoseofoogleseo.blogspot.com/2020/04/how-to-overcome-impact-of-covid-19-with.html … #daotaoseofoogleseo #khoahocseorys"
20,"Bí thư TP.HCM: Cứ 1 triệu dân thì có 2,4 người nhiễm Covid-19 ở Việt Nam  https://gocvietstar.com/bi-thu-tp-hcm-cu-1-trieu-dan-thi-co-24-nguoi-nhiem-covid-19-o-viet-nam.html … pic.twitter.com/dTI0KVR8U4"
21,Chuẩn bị kịch bản cho làn sóng bùng phát thứ 2 của dịch bệnh Covid-19  https://gocvietstar.com/chuan-bi-kich-ban-cho-lan-song-bung-phat-thu-2-cua-dich-benh-covid-19.html …
22,Xe chở 15 người dự đám tang định vượt chốt kiểm soát Covid-19 ở Thanh Hóa  https://gocvietstar.com/xe-cho-15-nguoi-du-dam-tang-dinh-vuot-chot-kiem-soat-covid-19-o-thanh-hoa.html … pic.twitter.com/uRFNCcCXcH
23,Xử nghiêm người chống đối người thi hành công vụ chống dịch Covid-19  https://gocvietstar.com/xu-nghiem-nguoi-chong-doi-nguoi-thi-hanh-cong-vu-chong-dich-covid-19.html … pic.twitter.com/ieq7U4x6Cf
24,Không đeo khẩu trang phòng Covid còn lớn tiếng thách thức giữa chợ  https://youtu.be/jTk8h4hznik  via @YouTube
25,Người đàn ông sau khi chiến thắng Covid-19 đã hiến tặng huyết tương để cứu sống người khác  https://goodstock.vn/nguoi-dan-ong-sau-khi-chien-thang-covid-19-da-hien-tang-huyet-tuong-de-cuu-song-nguoi-khac/ … pic.twitter.com/VzcIAW66RL
26,"Theo số liệu do Trung tâm Khoa học và Kỹ thuật Hệ thống (CSSE) thuộc Đại học Johns Hopkins (Mỹ) công bố mới nhất, tổng cộng 1.286.409 ca nhiễm COVID-19 được xác nhận tại hơn 200 quốc gia và vùng lãnh thổ trên thế giới, trong đó có 70.356 ca tử vong.  pic.twitter.com/YVMGFTFRU9"
27,"#ARMYSelcaDay   
Thì cũng gọi là SelcaDay 
* mũi tẹt * :<  @BTS_twt 
Đang trong mùa dịch covid này mọi người nhớ giữ sức khoẻ nha😔😔. 
Mong mau hết dịch để còn đi gặp Bangtan ㅠ_ㅠ  pic.twitter.com/wsnqK2e03f"
28,"Tôi xin hỏi bạn hãy ở nhà 15 ngày, có vui không? Hay làm gì ở nhà khi bị cách ly dịch covid-19. Còn tôi ở nhà cũng chán, tôi tự cố gắng cho mình vui như nấu ngon, nghiên cứu ngôn ngữ kí hiệu và học tiếng Anh - Nhật. #stayhome"
29,VIỆT NAM TẶNG INDONESIA 500 BỘ XÉT NGHIỆM COVID-19:  https://www.trelangblog.com/2020/04/viet-nam-tang-indonesia-500-bo-xet.html#.XotJdqdIWG4.twitter …
30,Chị đợi ngày đó lâu ghê á. Tại bạn covid nên phải lâu hơn mín nữa😭 @BTS_twt
31,Kỹ sư viễn thông bị đe dọa vì tin đồn 5G gây ra đại dịch Covid-19  https://tinviet360.com/index.php/2020/04/06/ky-su-vien-thong-bi-de-doa-vi-tin-don-5g-gay-ra-dai-dich-covid-19/ … pic.twitter.com/K42NulAaTk
32,Covid-19: Tiên Nguyễn tự cách ly thêm 14 ngày tại villa riêng  https://ift.tt/39KwgiE  pic.twitter.com/l9AEaAvBUK
33,Hãy cùng trò chuyện với mình nhé > Nhiều chuyện ở nhà mùa COVID-19 #BIGOLIVE  http://www.bigo.tv/sid/2103337422_1586186083_gidfgjcedb_1342965386?c=3&p=1&t=0&b=14496822 … pic.twitter.com/sjBjUpQN2X
34,Phim COVID-19 [Thời Khắc Nguy Nạn]: Dựa trên chuyện có thật của một gia ...  https://youtu.be/aHnPEQCCE1k  via @YouTube
35,What do you want to know about the future? — Chừng nào thì hết dịch Covid-19  https://lap78.ask.fm/igoto/45DKECPW7B667HQMHN2IG6NM6OODZPQ3RH62XCN6BX62BYFIRBZZO32MEZF44QRQL2Z7YGKEA4YFKEQPY43OA7PQPXYJZAR4WADRBPSSCVWASJ7CJSHDELHQSSC6JBT2QSUZ6EQ522PWPAEIOKKAUQLT6HCH776A2TIWL6JXWHX6AUXIDJXGDZXP5VB2JYXAWJQOC=== …
36,Công an huyện Tân Phước triệt phá 2 tụ điểm đánh bạc trong mùa dịch COVID-19  http://hoicodo.com/610490/cong-an-huyen-tan-phuoc-triet-pha-2-tu-diem-danh-bac-trong-mua-dich-covid-19/ … pic.twitter.com/YJN9EthO4p
37,Xử nghiêm người chống đối người thi hành công vụ chống dịch Covid-19  https://gamemobilemoi.wordpress.com/2020/04/06/xu-nghiem-nguoi-chong-doi-nguoi-thi-hanh-cong-vu-chong-dich-covid-19/ … pic.twitter.com/0auFC0rUSU
38,Kiôt ‘khai báo y tế’ giúp truy tìm dấu vết người nghi nhiễm COVID-19 trong bệnh viện  https://tinviet360.com/index.php/2020/04/06/kiot-khai-bao-y-te-giup-truy-tim-dau-vet-nguoi-nghi-nhiem-covid-19-trong-benh-vien/ … pic.twitter.com/SbRqVNHcx1
39,"Hôm nay các bác sĩ, y sĩ ở thành phố của tôi đã ăn mừng và khóc, khi  tất cả các bệnh nhân nhiễm covid 19 đã hoàn toàn bình phục và không có ca nhiễm nào nữa ở thành phố của tôi 🌹😃  pic.twitter.com/yoCqzmAYyO"
40,"Giải quyết thủ tục hành chính trong thời kỳ phòng, chống Covid-19  https://tinquangbinh.com/2020/04/976568/giai-quyet-thu-tuc-hanh-chinh-trong-thoi-ky-phong-chong-covid-19/ … pic.twitter.com/VSaRX5I3mw"
41,Covid-19: Tiên Nguyễn tự cách ly thêm 14 ngày tại villa riêng  https://ift.tt/2V9Eagb  pic.twitter.com/4u9T38V6Uv
42,Mẹ HLV Pep Guardiola qua đời vì Covid-19  https://ift.tt/3dYMDvg 
43,"Cập nhật số người nhiễm Corona Covid-19 mới nhất hôm nay, cách phòng tránh Corona Virus.

bảng CẬP NHẬT số ca nhiễm corona (COVID-19) trên thế giới và việt nam:

.  https://moivaonhatoi.com/corona  pic.twitter.com/Gv7GMfU501"
44,"Việt Nam thêm 4 ca mắc mới, 4 ca khỏi bệnh: (VOH) – Bộ Y tế thông báo thêm 4 ca mắc COVID-19, trong khi có 4 ca vừa khỏi bệnh. Tổng số ca mắc COVID-19 tại nước ta là 245 ca.  https://voh.com.vn/suc-khoe/viet-nam-them-4-ca-mac-moi-4-ca-khoi-benh-359907.html?utm_source=dlvr.it&utm_medium=twitter … pic.twitter.com/FveGO7Fzzp"
45,"🏆💪🎯HỌC YOGA TRỰC TUYẾN cùng GRAND MASTER AJAY
Mùa Dịch Covid Chúng Ta Không Thể Thiếu Tập Luyện Tăng Cường Sức Khoẻ - Jai Yoga triển khai lớp học Yoga trực tuyến (Học Online qua Zoom).
⛔📣Lưu ý: Thu phí rất nhỏ đối…  https://www.instagram.com/p/B-pMCoYlP2j/?igshid=7xhrhv684oou …"
46,Cập nhật Corona Vũ Hán - Covid-19 nhất (6/4) thế giới hơn 1 triệu ca |Th...  https://youtu.be/msIA6pOQNis  via @YouTube
47,14 ‘thùng nhân’ trốn kiểm soát dịch Covid-19 đi dự đám tang  http://hoicodo.com/610481/14-thung-nhan-tron-kiem-soat-dich-covid-19-di-du-dam-tang/ … pic.twitter.com/m2xW0W0elG
48,#Cryptocom #CRO #MCO #Eurobonds #Covid_19 #TimeForPlanB pdwkyqa5xa #BTC #Bitcoin #3for3 https://twitter.com/AstroSlothofB/status/1247056384027475969 …
49,Phải luôn đề cao cảnh giác với dịch COVID-19  http://hoicodo.com/610478/phai-luon-de-cao-canh-giac-voi-dich-covid-19/ … pic.twitter.com/KFMB1Axq1b
50,"Để dân cưới 4 ngày giữa dịch covid-19, chủ tịch xã ở Thanh Hóa bị đình chỉ  https://tinviet360.com/index.php/2020/04/06/de-dan-cuoi-4-ngay-giua-dich-covid-19-chu-tich-xa-o-thanh-hoa-bi-dinh-chi/ … pic.twitter.com/roeDUr4t4G"
51,Tập đoàn Austdoor phản ứng như thế nào với dịch bệnh Covid-19?  https://goodstock.vn/tap-doan-austdoor-phan-ung-nhu-the-nao-voi-dich-benh-covid-19/ … pic.twitter.com/DXZVCwxQLH
52,"Hiệu ứng cánh bướm:
Một hit covid đánh sập 3 châu lục  https://twitter.com/jeennierubyjane/status/1247157017820540933 …"
53,Danh hiệu “ngọn hải đăng” chống dịch Covid-19 và những nhận định của truyền thông quốc tế về sức mạnh người Việt Nam  https://goodstock.vn/danh-hieu-ngon-hai-dang-chong-dich-covid-19-va-nhung-nhan-dinh-cua-truyen-thong-quoc-te-ve-suc-manh-nguoi-viet-nam/ … pic.twitter.com/NSM4pmA3Ta
54,Covid cách ly toàn xã hội nhưng việc vẫn đều bình thường 🇻🇳  pic.twitter.com/YU9Or4SziC
55,Covid chán vãi  https://twitter.com/i/broadcasts/1MnxnQmvNWBJO …
56,"❤️ 🇻🇳 Hải Phòng: Đã có kết quả âm tính của 7 trường hợp nghi ngờ mắc COVID-19.
💠 Theo báo cáo của Sở Y tế Hải Phòng, ngày 6/4, thành phố nhận thêm kết quả âm tính với SARS-Cov-2 của 7 trường hợp nghi ngờ mắc; thêm 11 trường hợp…  https://thanhphohaiphong.gov.vn/hai-phong-da-co-ket-qua-am-tinh-cua-7-truong-hop-nghi-ngo-mac-covid-19.html … pic.twitter.com/l8MPpPIoO7"
57,Top 4 cách sử dụng Zoom an toàn nhất thời Covid 19  https://f4vnn.com/top-4-cach-su-dung-zoom-an-toan.html …
58,TP Đà Lạt: Giải pháp kích cầu thị trường nông sản trong bối cảnh COVID-19  https://ift.tt/2JHcoSG 
59,Doanh nghiệp gỗ có thể giảm 70% công suất vì Covid-19  https://ift.tt/2RdkUNK 
60,Hà Tĩnh: Sẽ xử lý nghiêm đối với các hành vi tụ tập đông người vi phạm phòng chống dịch Covid 19  https://hatinhqueta.wordpress.com/2020/04/06/ha-tinh-se-xu-ly-nghiem-doi-voi-cac-hanh-vi-tu-tap-dong-nguoi-vi-pham-phong-chong-dich-covid-19/ … pic.twitter.com/oHh39ZQqNm
61,"2 thanh niên rủ nhau đi ngắm hoàng hôn bị Dispatch bắt gặp. Có lẽ 2 anh tự tin rằng mùa dịch covid các tay paparazzi ngưng tác nghiệp nên rất chủ quan chỉ đeo khẩu trang nhưng lại để lộ ra 2 cặp mắt 1cm-1,5cm vô cùng đặc trưng🤣🤣🤣.
#2wish https://twitter.com/m34n_nPlan/status/1247140146132037638 …"
62,Giữa mùa covid mà vẫn sáng 😯🤔🤫  https://www.instagram.com/p/B-pJeatDXBm/?igshid=190rthl5ldgy6 …
63,Một tháng Covid-19 'oanh tạc' kinh tế Mỹ - VnExpress Kinh Doanh  https://bit.ly/39ERjTG 
64,"Ba bệnh nhân ở Cần Thơ, Tây Ninh khỏi Covid-19  http://dlvr.it/RTGgKW  pic.twitter.com/mxNLOGjZ9g"
65,cách bổ sung năng lượng chống covid-19  http://vegiare.net.vn/tin-tuc/cach-bo-sung-nang-luong-chong-covid19.html#.Xos9Dsuw7Rw.twitter …
66,"Covid-19: Quân đội Mỹ tự chế đồ che mặt, có gì dùng nấy  http://hoicodo.com/610473/covid-19-quan-doi-my-tu-che-do-che-mat-co-gi-dung-nay/ … pic.twitter.com/ay3njcV7Aa"
67,"mọi người thấy đấy quả là năm covid thứ nhất, thời điểm duy nhất ra ngoài chụp ảnh năm nay là tết mà tết thì tóc xấu vcl đcu  https://twitter.com/anythinggoes99z/status/1247033790112899073 … pic.twitter.com/pA2DQtITAj"
68,Cập nhật tình hình Covid-19 vào lúc 21 giờ 06-4-2020 | Thông tin dịch Co...  https://youtu.be/oAf5kzFh-mo  qua @YouTube
69,Covid 19 . Một bài học cho việc save money
70,Covid-19. Tự kỷ với em nó.  pic.twitter.com/DyXce8bKki
71,Covid-19: Bệnh nhân Mỹ ồ ạt thử nghiệm thuốc điều trị Covid-19   https://bit.ly/3aPGqQ8 
72,Cọp ở sở thú Bronx của thành phố New York bị nhiễm COVID-19  https://www.nguoi-viet.com/hoa-ky/cop-o-so-thu-bronx-cua-thanh-pho-new-york-bi-nhiem-covid-19/ …
73,Covid-19: Nga thêm gần 1.000 ca nCoV trong 24 giờ  https://bit.ly/2V4tsYn 
74,Covid-19: Nhật công bố kế hoạch tình trạng khẩn cấp  https://bit.ly/2yDHclf 
75,"Thanks you zumba ☺️
Cuối ngày kéo lại chút động lực trong lúc covid 
Không đi dạy mà tháng nào cũng auto tính phí 😩  pic.twitter.com/V20ysq0FSS"
76,"Nghỉ việc mùa dịch covid-19, chị em nấu đồ ăn bán online kiếm tiền triệu mỗi ngày  https://tinviet360.com/index.php/2020/04/06/nghi-viec-mua-dich-covid-19-chi-em-nau-do-an-ban-online-kiem-tien-trieu-moi-ngay/ … pic.twitter.com/pjr2Ptrwtq"
77,Mùa Covid 19  pic.twitter.com/yWo40aLC2Y
78,Covid-19: Iran tuyên bố không nhờ Mỹ giúp chống dịch bệnh  https://bit.ly/3aOD3sX 
79,Ở nhà cách ly covid vô tình dc bộ tóc mới 😂  pic.twitter.com/RBw7UjZDa9
80,Covid-19: Philippines ghi nhận hơn 400 ca nCoV một ngày  https://bit.ly/3bSTHro 
81,"Covid-19 ở Tây Ban Nha: Cập nhật ca nhiễm, ca tử vong ngày 6/4  https://bit.ly/2yEgn0f "
82,"""Phớt lờ"" dịch Covid-19, mật ong ""xịn"" ở đây giá 200.000 đồng/lít1  https://nghenong.com/2020/04/388425/phot-lo-dich-covid-19-mat-ong-xin-o-day-gia-200-000-dong-lit1-2/ … pic.twitter.com/PmEBkegyDX"
83,"Đại dịch COVID-19 và nguy cơ quyền riêng tư bị xâm hại (VOA)  https://youtu.be/W1aCJE5suHk  via @YouTube 
Vào hòm thì hết tính chuyện riêng tư...!!!"
84,RENEW/NPA chung tay cùng tỉnh Quảng Trị chống dịch Covid-19  https://landmines.org.vn/renew-npa-chung-tay-cung-tinh-quang-tri-chong-dich-covid-19/ … pic.twitter.com/R8Dy7A03qh
85,RENEW/NPA chung tay cùng tỉnh Quảng Trị chống dịch Covid-19  https://landmines.org.vn/renew-npa-chung-tay-cung-tinh-quang-tri-chong-dich-covid-19/ … pic.twitter.com/ffA1G41bq2
86,"Ba bệnh nhân ở Cần Thơ, Tây Ninh khỏi Covid-19 - VnExpress Sức Khỏe  https://bit.ly/39IQ8mh "
87,Covid-19: Số ca nhiễm nCoV mới ở Đức giảm 4 ngày liên tiếp  https://bit.ly/39Npp87 
88,Style Đi hẹn hò ở vườn hoa mùa covid 19 🤣🤣🤣.  https://twitter.com/loveplannnnn/status/1247151922844274688 …
89,Xem kèo cược tại:  http://bit.ly/2m3nSXv   Bác sĩ của đội bóng Pháp tự sát sau khi nhiễm Covid-19  https://bit.ly/3bY99Cq  M88VN pic.twitter.com/tivWErqntv
90,Bình Thuận: Ca Covid-19 thứ 36 âm tính lần 1 sau 8 lần xét nghiệm dương tính  http://hoicodo.com/610463/binh-thuan-ca-covid-19-thu-36-am-tinh-lan-1-sau-8-lan-xet-nghiem-duong-tinh/ … pic.twitter.com/f1wOrdZqEa
91,"Ở nhà mùa covid 😂😂😂
#onhavanvui #200406 #😂😂😂  https://www.instagram.com/p/B-pFVwBjZUdoEJ41-4b3EiOnKKyU-e4WDiWeJY0/?igshid=1315paxp99qt …"
92,Putin pha Trà tắc tăng cường sức khỏe ngăn Covid 19!  https://youtu.be/tT4-Tsk_lW4  qua @YouTube
93,Thiên thần trong cuộc chiến với Covid-19 - VnExpress Sức Khỏe  https://bit.ly/2UNlioj 
94,Covid-19: Quan chức Anh úp mở tình trạng của Thủ tướng  https://bit.ly/2RgZtet 
95,Covid-19: Tiên Nguyễn tự cách ly thêm 14 ngày tại villa riêng  https://gamemobilemoi.wordpress.com/2020/04/06/covid-19-tien-nguyen-tu-cach-ly-them-14-ngay-tai-villa-rieng/ … pic.twitter.com/Fv4R7Ne7mg
96,Chuyên gia khuyến cáo mùa dịch COVID-19 không nên để móng tay dài  https://nhadepdatvang.com/chuyen-gia-khuyen-cao-mua-dich-covid-19-khong-nen-de-mong-tay-dai/ … pic.twitter.com/IeV8sDY81N
97,Covid-19: Hàng nghìn người Trung Quốc chen lấn bất chấp cảnh báo  https://bit.ly/2JH4XLg 
98,Nhật sẽ sớm tuyên bố tình trạng khẩn cấp do khó kiểm soát COVID-19  https://www.nguoi-viet.com/the-gioi/thu-tuong-nhat-se-som-tuyen-bo-tinh-trang-khan-cap-do-kho-kiem-soat-lay-nhiem-covid-19/ …
99,Thầy giáo trường làng ở Hà Tĩnh sáng tác bài hát cổ động phòng dịch Covid-19  https://bestskills.vn/thay-giao-truong-lang-o-ha-tinh-sang-tac-bai-hat-co-dong-phong-dich-covid-19/ …
100,Nên giảm số lượng bài kiểm tra đối với học sinh vì dịch Covid-9  https://bestskills.vn/nen-giam-so-luong-bai-kiem-tra-doi-voi-hoc-sinh-vi-dich-covid-9/ …
101,Đại học Bách Khoa Hà Nội miễn giảm học phí cho sinh viên gặp khó khăn vì dịch Covid-19  https://bestskills.vn/dai-hoc-bach-khoa-ha-noi-mien-giam-hoc-phi-cho-sinh-vien-gap-kho-khan-vi-dich-covid-19/ …
102,Cách ly xã hội vì dịch Covid-19: Những ngày để ‘cảm nhận’ thế giới  https://bestskills.vn/cach-ly-xa-hoi-vi-dich-covid-19-nhung-ngay-de-cam-nhan-the-gioi/ …
103,Chuẩn bị kịch bản cho làn sóng bùng phát thứ 2 của dịch bệnh Covid-19  https://gamemobilemoi.wordpress.com/2020/04/06/chuan-bi-kich-ban-cho-lan-song-bung-phat-thu-2-cua-dich-benh-covid-19/ …
104,Bữa cơm chiều mùa Covid  pic.twitter.com/SvMlw6vzOl
105,"Mùng 74 Tết năm Covid 
# Nghe đồn kéo dài thêm lịch nghĩ tết nữa rui #  https://www.instagram.com/p/B-pCQLopQrG/?igshid=1ne5uiofxo4ls …"
106,"Thêm 4 ca mới, Việt Nam có 245 bệnh nhân COVID -19  http://hoicodo.com/610453/them-4-ca-moi-viet-nam-co-245-benh-nhan-covid-19/ … pic.twitter.com/aAoD1SPp68"
107,"17 nước cuối cùng Covid-19 chưa lan tới: Ngày 12/1, chưa đầy ba tháng trước, nCoV lan khắp…  https://goo.gl/fb/7H1DeV "
108,Hoạt động tôn giáo giữa dịch COVID-19 phải trong khuôn khổ pháp luật  http://hoicodo.com/610446/hoat-dong-ton-giao-giua-dich-covid-19-phai-trong-khuon-kho-phap-luat/ … pic.twitter.com/zNh6vnEvXm
109,Tập thời Covid buồn quá  pic.twitter.com/i1QNIyuCAf
110,Ngài nên liên hệ với Việt nam mượn cảng Cam Ranh để chữa bệnh Covid cho hạm đội ( hiện tại Việt nam đang kiểm soát khá tốt )
111,"Trao tặng trang thiết bị y tế hỗ trợ phòng, chống dịch Covid-19  https://tinquangbinh.com/2020/04/976546/trao-tang-trang-thiet-bi-y-te-ho-tro-phong-chong-dich-covid-19/ … pic.twitter.com/19toDuYP1n"
112,"4 ca Covid-19 mới, 1 người khám ở Bạch Mai 23 ngày trước, 95 ca khỏi bệnh  https://hanaluna.net/tin-tuc-dich-covid-19-ngay-6-4-viet-nam-ghi-nhan-4-ca-nhiem-moi.html … via @Hana &amp; Luna Blog"
113,5 cụ bà neo đơn gom tiền ủng hộ chống dịch Covid-19 và hạn mặn  https://gocvietstar.com/5-cu-ba-neo-don-gom-tien-ung-ho-chong-dich-covid-19-va-han-man.html … pic.twitter.com/5zDbfpn32r
114,"Đoàn Thanh niên Công an huyện Minh Hóa : Đồng lòng, chung sức phòng chống dịch Covid 19  https://tinquangbinh.com/2020/04/976537/doan-thanh-nien-cong-an-huyen-minh-hoa-dong-long-chung-suc-phong-chong-dich-covid-19/ … pic.twitter.com/JVeRUheaVG"
115,"VN có 245 ca nhiễm Covid-19 và ZERO người chết. Với số liệu đó thì dịch Covid-19 ở #Vietnam chả có chi đáng lo lắng hơn một dịch khác có tên gọi là ""Tai nạn giao thông"""
116,"Tin tức dịch bệnh corona mới nhất chiều ngày 6/4|Thêm 4 ca mắc Covid-19 mới, nâng tổng số lên 245 ca  https://www.youtube.com/watch?v=Jx0Tvz-pTV8 …"
117,"🔖 Bí thư Thành ủy Lê Văn Thành động viên các lực lượng trên tuyến đầu phòng chống dịch bệnh Covid-19.
💠 Chiều 6-4, đồng chí Lê Văn Thành - Ủy viên Trung ương Đảng, Bí thư Thành ủy, Chủ tịch HĐND TP đã đi thăm, động viên và tặng quà…  https://thanhphohaiphong.gov.vn/bi-thu-thanh-uy-le-van-thanh-dong-vien-cac-luc-luong-tren-tuyen-dau-phong-chong-dich-benh-covid-19.html … pic.twitter.com/fJ1UjgdKV7"
118,"Thất nghiệp vì Covid-19, người vay mua nhà như “ngồi trên đống lửa”
#bùng #covid19 #dịch #khiến #kinh #ngành #nhiều #phát #tế
 https://www.bdscuatui.com/that-nghiep-vi-covid-19-nguoi-vay-mua-nha-nhu-ngoi-tren-dong-lua-32059/?feed_id=17771&_unique_id=5e8b26a998935 …"
119,"Phi công người Anh mắc Covid-19 đầu tiên ở bar Buddha suy hô hấp nặng, phải can thiệp ECMO  https://goodstock.vn/phi-cong-nguoi-anh-mac-covid-19-dau-tien-o-bar-buddha-suy-ho-hap-nang-phai-can-thiep-ecmo/ … pic.twitter.com/PpxOrTs8Cs"
120,#YouTube sẽ xóa các video liên quan #5G và Covid-19  https://goo.gl/fb/iBkExA  #chiasẻchọnlọc #khoahọccôngnghệ
121,🔖 Phó Bí thư thường trực Thành ủy Nguyễn Thị Nghĩa kiểm tra công tác phòng chống dịch Covid-19 tại quận Hồng Bàng.  https://thanhphohaiphong.gov.vn/pho-bi-thu-thuong-truc-thanh-uy-nguyen-thi-nghia-kiem-tra-cong-tac-phong-chong-dich-covid-19-tai-quan-hong-bang.html … pic.twitter.com/hnjaoMEkjH
122,"💥💥💥 Tín hiệu tốt vui! Việt Nam 2 ngày chỉ 1 có ca nhiểm mới và thế giới đều giảm ca nhiểm COVID-19  https://bit.ly/2UOj0oZ 
💥 Niềm vui rõ ràng trong sáng nay, sáng đầu tuần và là buổi sáng thứ 2 liên tiếp không ghi nhận bệnh nhân COVID-19 mới.  pic.twitter.com/mBdGUB0YOV"
123,Vũng Tàu tạm dừng tắm biển mùa dịch Covid-19: Người ‘lén tắm’ cách xa 2 mét | Du lịch  https://trungcln.com/vung-tau-tam-dung-tam-bien-mua-dich-covid-19-nguoi-len-tam-cach-xa-2-met-du-lich/ … pic.twitter.com/NHRErm4tQ4
124,"Giữa mùa COVID, Barca tìm đường “thoát thân”  https://trungcln.com/giua-mua-covid-barca-tim-duong-thoat-than/ …"
